feat_acc,type=closest_bed=1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=1469-gELF3-myc-elf3-1xELF4-ox-ZT10-27C_S17_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-11-27C_S15_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-8-1-17C_S12_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-8-1-27C_S13_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=HDAC-22-4DAG_S18_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=HDAC-27-4DAG_S19_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=gELF3myc-17C_S10_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA2-22C-mock_S1_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA3-22C-cycloheximide_S6_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA3-22C-mock_S4_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey
AT1G02030,1.85537,2.1332,2.31888,3.39874,,,2.78867,2.21872,2.66965,2.57921,2.3908400000000003,2.4843,2.55084
AT1G02040,2.9340200000000003,1.67356,2.67407,3.39874,2.5713,,3.18706,3.42892,2.66965,2.57921,2.63341,2.4843,2.55084
AT1G02050,2.9340200000000003,2.04127,2.67407,2.50434,2.5713,,2.50112,3.42892,2.1878,2.05775,2.63341,2.4843,2.4796
AT1G02060,,1.79893,2.31888,2.32545,3.28286,,2.14381,2.82382,3.3924300000000005,2.23157,2.51213,2.4843,2.4796
AT1G02065,,1.79893,2.31888,2.32545,3.28286,,2.14381,2.82382,3.3924300000000005,2.23157,2.51213,2.4843,2.4796
AT1G02070,2.9340200000000003,1.67356,2.14129,2.32545,2.14437,,2.78867,2.42042,2.1878,,2.3017,2.12509,1.90967
AT1G02074,2.47674,,,1.71123,1.99726,,2.78867,3.37772,1.82641,,1.90571,1.76588,1.90967
AT1G02080,2.9340200000000003,1.67356,2.14129,2.32545,2.14437,,2.78867,2.42042,2.1878,,2.3017,2.12509,1.90967
AT1G02090,2.00946,2.1332,2.85166,3.93538,2.71361,,2.78867,2.42042,2.1878,2.23157,2.18494,2.39449,2.40836
AT1G02100,,,2.85166,3.93538,2.71361,,2.39029,2.42042,2.1878,2.8365,2.18494,2.4843,2.40836
AT1G02110,2.00946,2.1332,2.85166,3.04098,2.42899,,2.78867,1.92674,2.1878,2.14466,2.63341,2.5741,2.62208
AT1G02120,,,2.49647,3.04098,2.71361,,2.78867,2.42042,2.91058,2.66613,2.63341,2.5741,2.62208
AT1G02130,2.31765,,3.02925,3.21986,3.56748,,2.39029,1.81531,2.3594,2.14466,2.3908400000000003,3.02311,2.08012
AT1G02140,2.31765,1.58163,2.31888,2.50434,2.28668,,3.18706,2.42042,2.42873,1.79702,2.26956,2.21489,2.05215
AT1G02145,2.31765,,3.02925,3.21986,3.56748,,2.39029,1.81531,2.3594,2.14466,2.3908400000000003,3.02311,2.08012
AT1G02150,1.85537,1.58163,2.31888,3.21986,1.67133,,3.18706,2.21872,3.27197,,2.26956,2.21489,2.05215
AT1G02160,1.85537,,2.67407,3.21986,2.41632,,2.39029,2.42042,3.27197,2.14466,2.14828,2.39449,2.06324
AT1G02170,2.47174,,2.85166,2.68322,2.41632,,2.39029,3.02552,3.03104,2.57921,2.63341,2.39449,2.06324
AT1G02180,2.31765,,2.49647,1.7888099999999998,2.42899,,2.39029,,2.30826,2.14466,2.63341,2.5741,1.98091
AT1G02190,2.00946,,2.49647,2.32545,2.5713,,2.39029,2.21872,2.30826,2.05775,2.63341,2.5741,1.98091
AT1G02205,2.31765,,2.31888,1.7888099999999998,2.42899,,1.99191,,1.82641,2.14466,2.18494,2.21489,1.62471
AT1G02210,1.68664,2.17425,2.85166,2.50434,1.76323,,2.46272,2.5565,2.40707,2.3325400000000003,2.0401,2.69738,2.33712
AT1G02220,2.4687900000000003,2.17425,2.49647,1.96769,2.14437,,2.50112,,1.82641,2.23157,,2.03528,1.52633
AT1G02230,1.85537,1.92534,3.02925,2.8621,,,2.39029,2.21872,2.06733,1.7016099999999998,2.3017,1.91396,1.69595
AT1G02250,2.7294400000000003,1.67488,2.31888,2.32545,2.28668,,3.18706,2.42042,2.42873,2.4923,2.02699,1.67608,2.26587
AT1G02260,2.16355,2.2646,3.3805400000000003,3.21986,2.5713,,1.99191,2.42042,2.42873,2.31571,2.14828,1.92785,2.55084
AT1G02270,2.16355,2.31705,2.14129,1.7546099999999998,,,2.50112,2.21872,2.1878,,2.06818,2.1532,
AT1G02280,2.9340200000000003,1.67359,2.85166,2.8621,3.28286,,2.78867,,2.30826,2.4923,2.63341,3.65173,2.26587
AT1G02290,2.9340200000000003,1.67359,2.31888,2.50434,3.28286,,2.39029,,2.20558,2.4923,2.63341,3.65173,2.12339
AT1G02300,2.9340200000000003,1.67359,2.85166,2.8621,3.28286,,2.78867,,2.1878,2.4923,2.63341,3.65173,2.26587
AT1G02305,1.81957,,2.22123,2.14657,2.5713,,2.39029,1.92674,2.20558,,1.90571,2.08313,2.12339
AT1G02310,2.31765,2.50091,2.49647,2.6446400000000003,2.42899,,2.78867,2.42042,2.74528,1.65832,2.02699,2.09131,1.78635
AT1G02320,2.31765,1.85741,1.7861,2.6446400000000003,2.42899,,2.39029,2.42042,2.79012,2.14466,2.14828,2.09131,1.78635
AT1G02330,2.09912,2.40594,2.42448,2.11362,2.39753,,2.38573,2.55472,2.74528,1.75537,2.38484,1.88681,
AT1G02335,2.09912,2.07861,2.14129,,2.39753,,2.38573,2.55472,,1.97084,2.38484,,
AT1G02340,2.45433,1.92779,2.16964,2.48907,2.34831,,,2.89435,2.32964,2.06343,2.40459,1.85986,2.17199
AT1G02350,2.45433,1.92779,2.14129,,1.71744,,,2.89435,2.32964,2.06343,1.61218,1.85986,2.17199
AT1G02360,2.47174,1.91697,3.00417,2.50434,2.85592,,1.99191,,2.30544,2.75304,2.75469,2.5741,2.4796
AT1G02370,2.47174,1.91697,3.00417,2.50434,2.85592,,2.78867,,2.30544,2.75304,2.75469,2.5741,2.4796
AT1G02380,2.16355,2.04127,3.00417,2.39777,2.71361,,2.33885,2.42042,2.5491900000000003,2.14466,2.23592,2.11741,2.20169
AT1G02390,2.61402,2.04127,2.03453,1.96769,2.00206,,2.36329,,2.60033,2.14466,2.14828,1.76588,2.26587
AT1G02391,1.44639,2.31705,,2.68322,2.01512,,2.56923,2.32589,2.11066,2.63154,2.64488,,
AT1G02400,1.44639,2.31705,1.60665,2.68322,2.01512,,2.56923,2.32589,2.11066,2.63154,2.64488,,
AT1G02405,2.47174,1.80599,2.49647,2.8621,2.39036,,2.15488,1.98689,2.51459,2.14466,2.17635,2.4090000000000003,2.13246
AT1G02410,2.47174,,2.49647,2.8621,2.14437,,2.70073,2.31548,3.19955,2.14466,2.11269,2.21489,2.13246
AT1G02420,2.06488,1.80599,2.49647,2.8621,2.39036,,2.78867,1.98689,2.51459,2.14466,2.17635,2.4090000000000003,2.13246
AT1G02430,1.44639,2.09177,2.02345,,1.64621,,2.50112,1.99285,1.45042,2.7975,2.3771,2.08758,1.94256
AT1G02440,1.44639,2.09177,2.02345,1.7888099999999998,1.64621,,2.50112,3.02209,1.45042,2.7975,2.3771,2.08758,1.94256
AT1G02450,,2.09177,2.02345,1.7888099999999998,1.64621,,2.50112,3.02209,1.44656,2.7975,2.3771,2.08758,1.94256
AT1G02460,2.28127,1.84237,2.03453,3.71466,2.25375,,3.05527,1.92957,2.15584,2.54556,2.24825,3.06794,1.93149
AT1G02470,2.20216,1.3589,3.1142,2.43732,2.62066,,2.99458,2.14121,2.90703,2.09576,1.95142,2.93331,1.91408
AT1G02475,2.20216,,3.1142,2.02237,2.00206,,2.39029,,2.90703,2.07345,1.95142,2.93331,1.74704
AT1G02490,2.20216,1.3589,3.1142,2.43732,2.52266,,2.39029,,2.90703,2.07345,1.95142,2.93331,1.90405
AT1G02500,2.20216,,2.39759,1.60993,2.16799,,1.96941,1.99285,1.94972,2.31848,2.26956,2.3046900000000003,2.23455
AT1G02510,2.0695,1.67356,2.49359,2.8621,2.34831,,2.29145,2.17402,2.5491900000000003,1.80067,2.33039,2.11741,2.33422
AT1G02520,2.0695,1.67356,2.49359,2.8621,2.34831,,2.29145,2.17402,2.5491900000000003,1.80067,2.33039,2.11741,2.33422
AT1G02530,2.1296,1.85741,,2.56903,2.42899,,3.18706,1.92802,,1.79702,2.02699,,2.05215
